Station Name,Longitude,Latitude,Number of Exits,Opening Date,Opening Year-Month,SVY21_X,SVY21_Y
CHINATOWN MRT STATION,103.84407269085709,1.2846415113506149,6,20 June 2003,2003-06,29196.84334582515,29674.653601099744
CHINESE GARDEN MRT STATION,103.73278503871252,1.341995553045827,3,5 November 1988,1988-11,16811.70082584489,36016.796127405396
CHOA CHU KANG LRT STATION,103.74460757173648,1.3849898319573144,2,6 November 1999,1999-11,18127.597600040026,40770.839250010424
CHOA CHU KANG MRT STATION,103.74441444987627,1.3852765461973533,4,10 March 1990,1990-03,18106.106774817337,40802.54349918336
CITY HALL MRT STATION,103.85244081320343,1.2932059256953405,4,12 December 1987,1987-12,30128.138822933717,30621.66781795475
CLARKE QUAY MRT STATION,103.8465650175935,1.2886155666760255,6,20 June 2003,2003-06,29474.21634881489,30114.085428153376
CLEMENTI MRT STATION,103.76537190030689,1.3147708499395088,4,12 March 1988,1988-03,20438.186541547544,33006.30102223981
COMMONWEALTH MRT STATION,103.79837875141848,1.3023726758900007,4,12 March 1988,1988-03,24111.513969800384,31635.298771625996
COMPASSVALE LRT STATION,103.90066153357648,1.3944308469049642,2,18 January 2003,2003-01,35494.3800002641,41814.70114996472
CORAL EDGE LRT STATION,103.91268048916862,1.3938277296662271,2,29 January 2005,2005-01,36831.933800250044,41748.053099988036
COVE LRT STATION,103.906052374688,1.3992135250589088,2,29 January 2005,2005-01,36094.29325054479,42343.5637496424
DAKOTA MRT STATION,103.88864327651277,1.308455468964854,2,17 April 2010,2010-04,34157.1229602338,32307.943589615723
DAMAI LRT STATION,103.90870304151012,1.4051653208712422,2,29 January 2005,2005-01,36389.25580054623,43001.69309982166
DHOBY GHAUT MRT STATION,103.84550168866956,1.2994107088527833,6,20 June 2003,2003-06,29355.871122115186,31307.756006808973
DOVER MRT STATION,103.77838474329596,1.3115543125642066,2,18 October 2001,2001-10,21886.383800514745,32650.597049769458
DOWNTOWN MRT STATION,103.85277105540212,1.279553222177013,6,22 December 2013,2013-12,30164.903415039906,29112.02256492483
HUME MRT STATION,103.76867360009803,1.3549460000598166,2,28 February 2025,2025-02,20805.751000137,37448.65644995539
ESPLANADE MRT STATION,103.85568040869371,1.293194362529821,7,17 April 2010,2010-04,30488.67773781462,30620.3921662718
EUNOS MRT STATION,103.90289713414593,1.3195365796568062,3,4 November 1989,1989-11,35743.41099980373,33533.27623175912
EXPO MRT STATION,103.96245884527032,1.335159458370749,7,10 January 2001,2001-01,42371.96398014783,35261.04312359249
FAJAR LRT STATION,103.77067551844488,1.3844650711796456,1,6 November 1999,1999-11,21028.62710003455,40712.72120001288
FARMWAY LRT STATION,103.8892612323647,1.3971669110404612,2,18 January 2003,2003-01,34225.66965024501,42117.20819951662
FARRER PARK MRT STATION,103.85433720319526,1.3121610183985266,9,20 June 2003,2003-06,30339.173126155736,32717.626153664976
FARRER ROAD MRT STATION,103.80767723263273,1.317522871033869,2,8 October 2011,2011-10,25146.367849696908,33310.517148049155
FERNVALE LRT STATION,103.87626165389224,1.3921582676260966,1,18 January 2003,2003-01,32779.000100033896,41563.347200024844
FORT CANNING MRT STATION,103.84429753288106,1.2926181857619832,2,21 October 2017,2017-10,29221.8626012156,30556.673199484427
