school_name,address,postal_code,mainlevel_code,type_code,zone_code,X,Y,Longitude,Latitude,year_in_location
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,WEST,22662.4720813679,31709.3940755054,103.785358436408,1.30304255193392,1977
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,28273.1184036592,33542.0043816008,103.835772689988,1.31961649151328,1950
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,SOUTH,22106.5732889464,31782.5550005548,103.780363417671,1.30370409257783,1988
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,28849.3350947062,32406.8353125956,103.840950265464,1.30935041274966,2009
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,28254.9829477305,33404.2340238672,103.835609732354,1.31837054523521,1994
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,PRIMARY,GOVERNMENT SCHOOL,EAST,39754.5222957945,38406.3864220977,103.9389409004,1.36360590588314,2015
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,WEST,20584.7646280937,38934.3043401875,103.766687526556,1.36838160662857,2017
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,SECONDARY (S1-S4),SPECIALISED SCHOOL,WEST,20503.7068768945,39076.8485643137,103.765959130581,1.3696707043227,2009
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,33507.4424001053,35790.8945052791,103.882806211705,1.33995415587811,1952
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,PRIMARY,GOVERNMENT SCHOOL,WEST,21357.64699852,40655.688190354,103.773632022975,1.38394936211823,2007
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,30110.2946048304,35993.876840448,103.852280842345,1.341790284928,1982
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,PRIMARY,GOVERNMENT SCHOOL,EAST,39636.5324891713,33965.6893824711,103.937878976352,1.32344593287992,2002
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,39319.2390878517,35190.1334154308,103.935028383346,1.33451947288431,2002
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,41095.5563319344,34152.6950651146,103.950989139261,1.32513655159184,2004
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,40292.8371452186,34044.3485775683,103.943776245024,1.32415704029686,1979
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,PRIMARY,GOVERNMENT SCHOOL,SOUTH,31570.8074810533,33784.8514976725,103.865404167629,1.32181250780475,1978
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,31027.0613143621,34065.2544317767,103.860518349544,1.32434843114787,1999
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,PRIMARY,GOVERNMENT SCHOOL,SOUTH,25252.1938973861,28732.4526119996,103.808628535239,1.27612047924037,2001
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,PRIMARY,GOVERNMENT SCHOOL,WEST,14594.0803428125,36110.2863859087,103.712858381937,1.34284013791617,2004
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,13373.5768683841,36097.304205548,103.701891453912,1.34272216334333,1999
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,32934.6156324307,39153.0014795549,103.877659577677,1.37035994436209,1999
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,33965.1104164785,32152.5974159427,103.886917922608,1.30705061123433,2005
